timestamp,src_ip,dst_ip,src_port,dst_port,proto,service,duration,orig_bytes,resp_bytes,conn_state,suricata_alert,programming_activity
2026-09-01T14:00:00+00:00,192.168.50.11,192.168.50.20,59029,502,tcp,modbus,0.0334,71,148,SF,0,0
2026-09-01T14:00:02+00:00,192.168.50.12,192.168.50.20,52614,4840,tcp,opcua,0.1356,369,483,SF,0,0
2026-09-01T14:00:05+00:00,192.168.50.11,192.168.50.20,58308,502,tcp,modbus,0.0527,112,94,SF,0,0
2026-09-01T14:00:10+00:00,192.168.50.11,192.168.50.20,54345,502,tcp,modbus,0.022,127,104,SF,0,0
2026-09-01T14:00:15+00:00,192.168.50.11,192.168.50.20,49296,502,tcp,modbus,0.0559,72,191,SF,0,0
2026-09-01T14:00:17+00:00,192.168.50.12,192.168.50.20,51372,4840,tcp,opcua,0.134,255,877,SF,0,0
2026-09-01T14:00:20+00:00,192.168.50.11,192.168.50.20,56747,502,tcp,modbus,0.0332,89,150,SF,0,0
2026-09-01T14:00:20+00:00,192.168.50.10,192.168.50.20,50279,11740,tcp,codesys,0.3892,463,851,SF,0,0
2026-09-01T14:00:25+00:00,192.168.50.11,192.168.50.20,63795,502,tcp,modbus,0.0336,115,160,SF,0,0
2026-09-01T14:00:30+00:00,192.168.50.11,192.168.50.20,61081,502,tcp,modbus,0.0481,117,137,SF,0,0
2026-09-01T14:00:32+00:00,192.168.50.12,192.168.50.20,52124,4840,tcp,opcua,0.1403,243,814,SF,0,0
2026-09-01T14:00:35+00:00,192.168.50.11,192.168.50.20,54287,502,tcp,modbus,0.0406,126,178,SF,0,0
2026-09-01T14:00:40+00:00,192.168.50.11,192.168.50.20,51125,502,tcp,modbus,0.054,76,109,SF,0,0
2026-09-01T14:00:45+00:00,192.168.50.11,192.168.50.20,49401,502,tcp,modbus,0.0332,125,121,SF,0,0
2026-09-01T14:00:47+00:00,192.168.50.12,192.168.50.20,57634,4840,tcp,opcua,0.1615,348,873,SF,0,0
2026-09-01T14:00:50+00:00,192.168.50.11,192.168.50.20,51011,502,tcp,modbus,0.0169,91,153,SF,0,0
2026-09-01T14:00:55+00:00,192.168.50.11,192.168.50.20,49922,502,tcp,modbus,0.0521,100,220,SF,0,0
2026-09-01T14:01:00+00:00,192.168.50.11,192.168.50.20,62108,502,tcp,modbus,0.0254,71,117,SF,0,0
2026-09-01T14:01:02+00:00,192.168.50.12,192.168.50.20,51859,4840,tcp,opcua,0.162,406,626,SF,0,0
2026-09-01T14:01:05+00:00,192.168.50.11,192.168.50.20,55800,502,tcp,modbus,0.0229,102,173,SF,0,0
2026-09-01T14:01:10+00:00,192.168.50.11,192.168.50.20,61327,502,tcp,modbus,0.0355,87,167,SF,0,0
2026-09-01T14:01:15+00:00,192.168.50.11,192.168.50.20,57938,502,tcp,modbus,0.0476,71,208,SF,0,0
2026-09-01T14:01:17+00:00,192.168.50.12,192.168.50.20,49376,4840,tcp,opcua,0.1441,358,270,SF,0,0
2026-09-01T14:01:20+00:00,192.168.50.11,192.168.50.20,54931,502,tcp,modbus,0.046,92,169,SF,0,0
2026-09-01T14:01:25+00:00,192.168.50.11,192.168.50.20,59980,502,tcp,modbus,0.0376,91,137,SF,0,0
2026-09-01T14:01:30+00:00,192.168.50.11,192.168.50.20,61093,502,tcp,modbus,0.0248,85,209,SF,0,0
2026-09-01T14:01:32+00:00,192.168.50.12,192.168.50.20,63326,4840,tcp,opcua,0.0414,284,478,SF,0,0
2026-09-01T14:01:35+00:00,192.168.50.11,192.168.50.20,49447,502,tcp,modbus,0.0267,110,136,SF,0,0
2026-09-01T14:01:40+00:00,192.168.50.11,192.168.50.20,55252,502,tcp,modbus,0.0563,117,173,SF,0,0
2026-09-01T14:01:45+00:00,192.168.50.11,192.168.50.20,57957,502,tcp,modbus,0.037,115,203,SF,0,0
2026-09-01T14:01:47+00:00,192.168.50.12,192.168.50.20,55865,4840,tcp,opcua,0.1364,200,539,SF,0,0
2026-09-01T14:01:50+00:00,192.168.50.11,192.168.50.20,57686,502,tcp,modbus,0.0349,113,129,SF,0,0
2026-09-01T14:01:55+00:00,192.168.50.11,192.168.50.20,52663,502,tcp,modbus,0.0297,106,121,SF,0,0
2026-09-01T14:02:00+00:00,192.168.50.11,192.168.50.20,53889,502,tcp,modbus,0.0458,109,131,SF,0,0
2026-09-01T14:02:02+00:00,192.168.50.12,192.168.50.20,54693,4840,tcp,opcua,0.1601,388,767,SF,0,0
2026-09-01T14:02:05+00:00,192.168.50.11,192.168.50.20,61016,502,tcp,modbus,0.0433,124,178,SF,0,0
2026-09-01T14:02:10+00:00,192.168.50.11,192.168.50.20,50437,502,tcp,modbus,0.0184,109,125,SF,0,0
2026-09-01T14:02:15+00:00,192.168.50.11,192.168.50.20,62539,502,tcp,modbus,0.0161,93,145,SF,0,0
2026-09-01T14:02:17+00:00,192.168.50.12,192.168.50.20,57485,4840,tcp,opcua,0.1281,281,493,SF,0,0
2026-09-01T14:02:20+00:00,192.168.50.11,192.168.50.20,64362,502,tcp,modbus,0.0191,115,208,SF,0,0
2026-09-01T14:02:25+00:00,192.168.50.11,192.168.50.20,59654,502,tcp,modbus,0.0512,71,138,SF,0,0
2026-09-01T14:02:30+00:00,192.168.50.11,192.168.50.20,64599,502,tcp,modbus,0.0495,126,94,SF,0,0
2026-09-01T14:02:32+00:00,192.168.50.12,192.168.50.20,51773,4840,tcp,opcua,0.1575,289,728,SF,0,0
2026-09-01T14:02:35+00:00,192.168.50.11,192.168.50.20,50019,502,tcp,modbus,0.0271,116,155,SF,0,0
2026-09-01T14:02:40+00:00,192.168.50.11,192.168.50.20,54660,502,tcp,modbus,0.0345,119,212,SF,0,0
2026-09-01T14:02:45+00:00,192.168.50.11,192.168.50.20,58195,502,tcp,modbus,0.0541,119,216,SF,0,0
2026-09-01T14:02:47+00:00,192.168.50.12,192.168.50.20,56999,4840,tcp,opcua,0.0536,185,540,SF,0,0
2026-09-01T14:02:50+00:00,192.168.50.11,192.168.50.20,54943,502,tcp,modbus,0.0282,89,92,SF,0,0
2026-09-01T14:02:55+00:00,192.168.50.11,192.168.50.20,52702,502,tcp,modbus,0.057,71,152,SF,0,0
2026-09-01T14:03:00+00:00,192.168.50.11,192.168.50.20,64902,502,tcp,modbus,0.0358,123,134,SF,0,0
2026-09-01T14:03:02+00:00,192.168.50.12,192.168.50.20,61895,4840,tcp,opcua,0.0508,362,399,SF,0,0
2026-09-01T14:03:05+00:00,192.168.50.11,192.168.50.20,56327,502,tcp,modbus,0.0336,94,145,SF,0,0
2026-09-01T14:03:10+00:00,192.168.50.11,192.168.50.20,58643,502,tcp,modbus,0.0352,91,168,SF,0,0
2026-09-01T14:03:15+00:00,192.168.50.11,192.168.50.20,53153,502,tcp,modbus,0.0231,111,105,SF,0,0
2026-09-01T14:03:17+00:00,192.168.50.12,192.168.50.20,55642,4840,tcp,opcua,0.1249,412,430,SF,0,0
2026-09-01T14:03:20+00:00,192.168.50.11,192.168.50.20,55965,502,tcp,modbus,0.06,106,163,SF,0,0
2026-09-01T14:03:25+00:00,192.168.50.11,192.168.50.20,56521,502,tcp,modbus,0.0418,103,164,SF,0,0
2026-09-01T14:03:30+00:00,192.168.50.11,192.168.50.20,63134,502,tcp,modbus,0.0155,90,213,SF,0,0
2026-09-01T14:03:32+00:00,192.168.50.12,192.168.50.20,51794,4840,tcp,opcua,0.1399,408,593,SF,0,0
2026-09-01T14:03:35+00:00,192.168.50.11,192.168.50.20,56730,502,tcp,modbus,0.0244,89,175,SF,0,0
2026-09-01T14:03:40+00:00,192.168.50.11,192.168.50.20,61970,502,tcp,modbus,0.043,81,98,SF,0,0
2026-09-01T14:03:45+00:00,192.168.50.11,192.168.50.20,59939,502,tcp,modbus,0.0538,79,112,SF,0,0
2026-09-01T14:03:47+00:00,192.168.50.12,192.168.50.20,52234,4840,tcp,opcua,0.1521,311,488,SF,0,0
2026-09-01T14:03:50+00:00,192.168.50.11,192.168.50.20,49215,502,tcp,modbus,0.0412,77,161,SF,0,0
2026-09-01T14:03:55+00:00,192.168.50.11,192.168.50.20,59039,502,tcp,modbus,0.0182,127,193,SF,0,0
2026-09-01T14:04:00+00:00,192.168.50.11,192.168.50.20,60854,502,tcp,modbus,0.0441,104,217,SF,0,0
2026-09-01T14:04:02+00:00,192.168.50.12,192.168.50.20,63412,4840,tcp,opcua,0.0491,385,619,SF,0,0
2026-09-01T14:04:05+00:00,192.168.50.11,192.168.50.20,54424,502,tcp,modbus,0.0432,98,157,SF,0,0
2026-09-01T14:04:10+00:00,192.168.50.11,192.168.50.20,61159,502,tcp,modbus,0.0473,80,128,SF,0,0
2026-09-01T14:04:15+00:00,192.168.50.11,192.168.50.20,51297,502,tcp,modbus,0.0169,126,157,SF,0,0
2026-09-01T14:04:17+00:00,192.168.50.12,192.168.50.20,49282,4840,tcp,opcua,0.173,300,742,SF,0,0
2026-09-01T14:04:20+00:00,192.168.50.11,192.168.50.20,53381,502,tcp,modbus,0.0546,94,199,SF,0,0
